##### 
316472-316569 /EGamma/Run2018A-EcalUncalZElectron-PromptReco-v2/ALCARECO EGamma-Run2018A-ZSkim-Prompt-v2 caf database VALID RUN2018A_2018-05-22
316472-316569 /EGamma/Run2018A-EcalUncalWElectron-PromptReco-v2/ALCARECO EGamma-Run2018A-WSkim-Prompt-v2 caf database VALID RUN2018A_2018-05-22
##### 
316590-316666 /EGamma/Run2018A-EcalUncalZElectron-PromptReco-v2/ALCARECO EGamma-Run2018A-ZSkim-Prompt-v2 caf database VALID RUN2018A_2018-05-25
316590-316666 /EGamma/Run2018A-EcalUncalWElectron-PromptReco-v2/ALCARECO EGamma-Run2018A-WSkim-Prompt-v2 caf database VALID RUN2018A_2018-05-25
##### 
316667-316718 /EGamma/Run2018A-EcalUncalZElectron-PromptReco-v2/ALCARECO EGamma-Run2018A-ZSkim-Prompt-v2 caf database VALID RUN2018A_2018-05-25
316667-316718 /EGamma/Run2018A-EcalUncalWElectron-PromptReco-v2/ALCARECO EGamma-Run2018A-WSkim-Prompt-v2 caf database VALID RUN2018A_2018-05-25
##### 
316719-316758 /EGamma/Run2018A-EcalUncalZElectron-PromptReco-v2/ALCARECO EGamma-Run2018A-ZSkim-Prompt-v2 caf database VALID RUN2018A_2018-05-30
316719-316758 /EGamma/Run2018A-EcalUncalWElectron-PromptReco-v2/ALCARECO EGamma-Run2018A-WSkim-Prompt-v2 caf database VALID RUN2018A_2018-05-30
##### 
316766-316876 /EGamma/Run2018A-EcalUncalZElectron-PromptReco-v2/ALCARECO EGamma-Run2018A-ZSkim-Prompt-v2 caf database VALID RUN2018A_2018-05-30
316766-316876 /EGamma/Run2018A-EcalUncalWElectron-PromptReco-v2/ALCARECO EGamma-Run2018A-WSkim-Prompt-v2 caf database VALID RUN2018A_2018-05-30
##### 
315357-315689 /EGamma/Run2018A-EcalUncalZElectron-PromptReco-v1/ALCARECO EGamma-Run2018A-ZSkim-Prompt-v1 caf database VALID RUN2018A_2018-05-31
315357-315689 /EGamma/Run2018A-EcalUncalWElectron-PromptReco-v1/ALCARECO EGamma-Run2018A-WSkim-Prompt-v1 caf database VALID RUN2018A_2018-05-31
##### 
315690-316058 /EGamma/Run2018A-EcalUncalZElectron-PromptReco-v1/ALCARECO EGamma-Run2018A-ZSkim-Prompt-v1 caf database VALID RUN2018A_2018-05-31
315690-316058 /EGamma/Run2018A-EcalUncalWElectron-PromptReco-v1/ALCARECO EGamma-Run2018A-WSkim-Prompt-v1 caf database VALID RUN2018A_2018-05-31
##### 
316059-316199 /EGamma/Run2018A-EcalUncalZElectron-PromptReco-v1/ALCARECO EGamma-Run2018A-ZSkim-Prompt-v1 caf database VALID RUN2018A_2018-05-31
316059-316199 /EGamma/Run2018A-EcalUncalWElectron-PromptReco-v1/ALCARECO EGamma-Run2018A-WSkim-Prompt-v1 caf database VALID RUN2018A_2018-05-31
##### 
316200-316239 /EGamma/Run2018A-EcalUncalZElectron-PromptReco-v1/ALCARECO EGamma-Run2018A-ZSkim-Prompt-v1 caf database VALID RUN2018A_2018-05-31
316200-316239 /EGamma/Run2018A-EcalUncalWElectron-PromptReco-v1/ALCARECO EGamma-Run2018A-WSkim-Prompt-v1 caf database VALID RUN2018A_2018-05-31
##### 
316240-316569 /EGamma/Run2018A-EcalUncalZElectron-PromptReco-v2/ALCARECO EGamma-Run2018A-ZSkim-Prompt-v2 caf database VALID RUN2018A_2018-05-31
316240-316569 /EGamma/Run2018A-EcalUncalWElectron-PromptReco-v2/ALCARECO EGamma-Run2018A-WSkim-Prompt-v2 caf database VALID RUN2018A_2018-05-31
##### 
316590-316766 /EGamma/Run2018A-EcalUncalZElectron-PromptReco-v2/ALCARECO EGamma-Run2018A-ZSkim-Prompt-v2 caf database VALID RUN2018A_2018-05-31
316590-316766 /EGamma/Run2018A-EcalUncalWElectron-PromptReco-v2/ALCARECO EGamma-Run2018A-WSkim-Prompt-v2 caf database VALID RUN2018A_2018-05-31
##### 
316876-317088 /EGamma/Run2018A-EcalUncalZElectron-PromptReco-v2/ALCARECO EGamma-Run2018A-ZSkim-Prompt-v2 caf database VALID RUN2018A_2018-05-31
316876-317088 /EGamma/Run2018A-EcalUncalWElectron-PromptReco-v2/ALCARECO EGamma-Run2018A-WSkim-Prompt-v2 caf database VALID RUN2018A_2018-05-31
