300742-302029	/DoubleEG/Run2017C-EcalUncalZElectron-PromptReco-v3/ALCARECO	DoubleEG-Run2017C-ZSkim-Prompt-v3	caf.cern.ch	group/dpg_ecal/alca_ecalcalib/ecalelf/ntuples	ALCARERECO	PromptReco2017_103X	
305040-306460	/SingleElectron/Run2017F-EcalUncalWElectron-PromptReco-v1/ALCARECO	SingleElectron-Run2017F-WSkim-Prompt-v1	caf.cern.ch	group/dpg_ecal/alca_ecalcalib/ecalelf/ntuples	ALCARERECO	PromptReco2017_103X	294927-306462_Prompt_v1
299368-299649	/DoubleEG/Run2017C-EcalUncalZElectron-PromptReco-v1/ALCARECO	DoubleEG-Run2017C-ZSkim-Prompt-v1	caf.cern.ch	group/dpg_ecal/alca_ecalcalib/ecalelf/ntuples	ALCARERECO	PromptReco2017_103X	
297046-297723	/DoubleEG/Run2017B-EcalUncalZElectron-PromptReco-v1/ALCARECO	DoubleEG-Run2017B-ZSkim-Prompt-v1	caf.cern.ch	group/dpg_ecal/alca_ecalcalib/ecalelf/ntuples	ALCARERECO	PromptReco2017_103X	
298678-299329	/DoubleEG/Run2017B-EcalUncalZElectron-PromptReco-v2/ALCARECO	DoubleEG-Run2017B-ZSkim-Prompt-v2	caf.cern.ch	group/dpg_ecal/alca_ecalcalib/ecalelf/ntuples	ALCARERECO	PromptReco2017_103X	
	/DYJetsToEE_M-50_TuneCP5_13TeV-madgraphMLM-pythia8/RunIIAutumn18DR-EcalUncalZElectron-2016GT_102X_mc2017_realistic_UL_v1-v1/ALCARECO	DYJetsToEE_M-50_TuneCP5_13TeV-madgraphMLM-pythia8	caf.cern.ch	group/dpg_ecal/alca_ecalcalib/ecalelf/ntuples	ALCARERECO	102X_mc2017_realistic_UL_v1	
	/DYJetsToEE_M-50_TuneCP5_13TeV-madgraphMLM-pythia8/RunIIAutumn18DR-EcalUncalZElectron-2016GT_102X_mc2017_realistic_UL_v1-v1/ALCARECO	DYJetsToEE_M-50_TuneCP5_13TeV-madgraphMLM-pythia8	caf.cern.ch	group/dpg_ecal/alca_ecalcalib/ecalelf/ntuples	ALCARERECO	102X_mc2017_realistic_UL_v1	
	/DYJetsToEE_M-50_TuneCP5_13TeV-madgraphMLM-pythia8/RunIIAutumn18DR-EcalUncalZElectron-2016GT_102X_mc2017_realistic_UL_v1-v1/ALCARECO	DYJetsToEE_M-50_TuneCP5_13TeV-madgraphMLM-pythia8	caf.cern.ch	group/dpg_ecal/alca_ecalcalib/ecalelf/ntuples	ALCARERECO	102X_mc2017_realistic_UL_v1	
	/DYJetsToEE_M-50_TuneCP5_13TeV-madgraphMLM-pythia8/RunIIAutumn18DR-EcalUncalZElectron-2016GT_102X_mc2017_realistic_UL_v1-v1/ALCARECO	DYJetsToEE_M-50_TuneCP5_13TeV-madgraphMLM-pythia8	caf.cern.ch	group/dpg_ecal/alca_ecalcalib/ecalelf/ntuples	ALCARERECO	102X_mc2017_realistic_UL_v1	
	/DYJetsToEE_M-50_TuneCP5_13TeV-madgraphMLM-pythia8/RunIIAutumn18DR-EcalUncalZElectron-2016GT_102X_mc2017_realistic_UL_v1-v1/ALCARECO	DYJetsToEE_M-50_TuneCP5_13TeV-madgraphMLM-pythia8	caf.cern.ch	group/dpg_ecal/alca_ecalcalib/ecalelf/ntuples	ALCARERECO	102X_mc2017_realistic_UL_v1	
298678-299329	/DoubleEG/Run2017B-EcalUncalZElectron-PromptReco-v2/ALCARECO	DoubleEG-Run2017B-ZSkim-Prompt-v2	caf.cern.ch	group/dpg_ecal/alca_ecalcalib/ecalelf/ntuples	ALCARERECO	PromptReco2017_103X_PFrechit2017UL	294927-306462_Prompt_v1
298678-299329	/DoubleEG/Run2017B-EcalUncalZElectron-PromptReco-v2/ALCARECO	DoubleEG-Run2017B-ZSkim-Prompt-v2	caf.cern.ch	group/dpg_ecal/alca_ecalcalib/ecalelf/ntuples	ALCARERECO	PromptReco2017_103X_PFrechit2017UL	294927-306462_Prompt_v1
