297050	5839	1497646289
297056	5840	1497675646
297057	5840	1497680316
297099	5842	1497727812
297100	5842	1497728481
297101	5842	1497737546
297113	5845	1497789793
297114	5845	1497795665
297175	5848	1497899080
297176	5848	1497901105
297178	5848	1497910147
297215	5849	1497966783
297218	5849	1497968066
297219	5849	1497968768
297224	5849	1498031554
297225	5849	1498034946
297227	5849	1498035697
297292	5856	1498099349
297293	5856	1498117293
297296	5856	1498121227
297308	5856	1498133369
297359	5862	1498188640
297411	5864	1498224924
297424	5865	1498264950
297425	5865	1498267779
297426	5865	1498271435
297429	5865	1498274699
297430	5865	1498277027
297431	5865	1498281788
297432	5865	1498286185
297433	5865	1498290107
297434	5865	1498293799
297435	5865	1498297540
297467	5868	1498333699
297468	5868	1498336137
297469	5868	1498338124
297483	5872	1498368988
297484	5872	1498373237
297485	5872	1498378639
297486	5872	1498388755
297487	5872	1498403677
297488	5872	1498418229
297503	5873	1498442454
297504	5873	1498461025
297505	5873	1498464388
297557	5876	1498519235
297558	5876	1498528396
297562	5876	1498543130
297563	5876	1498551801
297599	5878	1498575985
297603	5878	1498585942
297604	5878	1498596273
297605	5878	1498605765
297606	5878	1498615808
297620	5880	1498644563
297656	5882	1498671593
297665	5882	1498697219
297666	5882	1498704145
297670	5883	1498717128
297674	5883	1498720513
297675	5883	1498725418
297722	5887	1498768823
297723	5887	1498777344
298996	5942	1500017778
298997	5942	1500022333
299000	5942	1500023991
299042	5946	1500063110
299061	5950	1500080437
299062	5950	1500087850
299064	5950	1500094934
299065	5950	1500097769
299067	5950	1500106375
299096	5952	1500132411
299149	5954	1500169241
299178	5958	1500207895
299180	5958	1500209778
299184	5958	1500212544
299185	5958	1500225975
299327	5960	1500364389
299329	5960	1500366306
299368	5962	1500394163
299369	5962	1500397501
299370	5962	1500406761
299380	5963	1500431680
299381	5963	1500436843
299394	5965	1500449345
299395	5965	1500450143
299396	5965	1500454505
299420	5966	1500465816
299443	5971	1500510774
299450	5974	1500525423
299477	5976	1500554544
299478	5976	1500556004
299479	5976	1500560281
299480	5976	1500563272
299481	5976	1500580518
299593	5979	1500661425
299594	5979	1500680334
299595	5979	1500688082
299597	5979	1500691516
299649	5984	1500863901
300087	6019	1501309411
300105	6020	1501330492
300106	6020	1501331164
300107	6020	1501333081
300117	6021	1501346744
300122	6024	1501364732
300123	6024	1501394279
300155	6026	1501440581
300156	6026	1501468421
300157	6026	1501470697
300226	6030	1501520593
300233	6031	1501538887
300234	6031	1501541749
300235	6031	1501543312
300236	6031	1501547736
300237	6031	1501552097
300238	6031	1501568916
300239	6031	1501576604
300240	6031	1501582256
300280	6035	1501649265
300281	6035	1501664444
300282	6035	1501664896
300283	6035	1501669231
300284	6035	1501670139
300364	6041	1501762355
300365	6041	1501763103
300366	6041	1501763675
300367	6041	1501764282
300368	6041	1501764846
300369	6041	1501765415
300370	6041	1501765988
300371	6041	1501766560
300372	6041	1501767125
300373	6041	1501767578
300374	6041	1501768133
300375	6041	1501768695
300389	6044	1501786113
300390	6044	1501789768
300391	6044	1501790336
300392	6044	1501790891
300393	6044	1501791476
300394	6044	1501792038
300395	6044	1501792608
300396	6044	1501793166
300397	6044	1501793735
300398	6044	1501794316
300399	6044	1501794905
300400	6044	1501795593
300401	6044	1501811763
300459	6046	1501848991
300461	6046	1501856184
300462	6046	1501858596
300463	6046	1501861121
300464	6046	1501864469
300466	6046	1501871104
300467	6046	1501886390
300497	6048	1501918351
300514	6050	1501934472
300515	6050	1501937219
300516	6050	1501961411
300517	6050	1501964168
300558	6052	1502018846
300560	6052	1502031797
300574	6053	1502074258
300575	6053	1502076878
300576	6053	1502078791
300631	6054	1502120032
300632	6054	1502124456
300633	6054	1502125131
300635	6054	1502136460
300636	6054	1502141025
300674	6055	1502190215
300675	6055	1502191125
300676	6055	1502191916
300742	6057	1502211813
300777	6060	1502254056
300780	6060	1502265637
300785	6060	1502275774
300806	6061	1502315171
300811	6061	1502319710
300812	6061	1502331924
300816	6061	1502333570
300817	6061	1502337319
301046	6072	1502501566
301142	6082	1502713237
301161	6084	1502746688
301165	6084	1502764749
301179	6086	1502783886
301180	6086	1502784493
301183	6086	1502786807
301281	6089	1502838462
301283	6089	1502841526
301298	6090	1502874676
301323	6091	1502907688
301330	6093	1502947885
301359	6094	1502968025
301384	6096	1502984616
301391	6097	1503006231
301392	6097	1503010634
301393	6097	1503025440
301396	6097	1503027546
301397	6097	1503028516
301398	6097	1503045785
301399	6097	1503046212
301417	6098	1503060096
301447	6104	1503142221
301448	6104	1503152404
301449	6104	1503160203
301450	6104	1503169622
301461	6105	1503183639
301472	6106	1503238328
301475	6106	1503258422
301476	6106	1503258834
301519	6110	1503321209
301524	6110	1503326722
301529	6110	1503336130
301530	6110	1503337474
301531	6110	1503340474
301532	6110	1503349979
301567	6114	1503391608
301627	6116	1503444103
301664	6119	1503491063
