278957	79	1471383115	278957	227	1471386568	17004
278962	68	1471396117	278963	175	1471408375	54613
278969	70	1471418226	278969	1460	1471450622	137331
278975	1	1471450996	278976	20	1471471561	62614
278986	72	1471493014	278986	199	1471495984	14591
279024	82	1471559531	279024	382	1471566528	24652
279029	1	1471573179	279029	260	1471579239	19133
279071	71	1471621225	279071	244	1471625261	11613
279080	69	1471646600	279080	224	1471650228	6665
279115	118	1471730908	279116	485	1471753805	85043
279479	86	1472099619	279479	189	1472102026	2794
279588	100	1472159291	279588	1259	1472186330	112266
279653	77	1472220351	279656	43	1472256380	141618
279658	1	1472261719	279658	713	1472278339	47803
279667	69	1472288933	279667	1033	1472311420	99746
279681	77	1472335039	279685	209	1472344102	34981
279691	71	1472355690	279694	2235	1472409087	197128
279715	71	1472421712	279715	691	1472436169	61269
279716	1	1472437026	279716	1653	1472475558	128040
279760	69	1472502114	279760	728	1472517491	72697
279766	1	1472519315	279766	1683	1472558539	134386
279767	1	1472558882	279767	776	1472576971	45959
279794	78	1472600486	279794	1100	1472624330	107769
279823	61	1472637645	279823	395	1472645447	38621
279841	76	1472657029	279841	2122	1472704737	86144
279844	72	1472714490	279844	295	1472719673	26037
279887	80	1472772090	279887	397	1472779487	34629
279931	84	1472816280	279931	3022	1472884769	235508
279966	80	1472894464	279966	441	1472902885	43014
279975	71	1472913939	279975	1121	1472938430	112203
279993	86	1472948640	279994	47	1472951686	13959
280013	1	1472960146	280017	608	1472992905	119392
280018	1	1472993224	280024	427	1473035611	104046
280187	5	1473107090	280191	900	1473136189	122324
280194	1	1473140179	280194	238	1473145727	18599
280242	1	1473176619	280242	627	1473191212	69752
280249	1	1473191527	280251	372	1473233968	142898
280327	50	1473323016	280363	359	1473368807	170471
280364	1	1473368996	280364	1363	1473400768	79224
280383	64	1473410494	280385	2022	1473459429	178221
281613	102	1474783497	281613	902	1474802156	4981
281639	1	1474875967	281641	317	1474889916	26830
281693	1	1474909074	281693	2190	1474960124	184553
281707	100	1474969741	281726	288	1474999632	126123
